```csv
Topic,Name,Link,Difficulty
Arrays,Move Zeroes,https://leetcode.com/problems/move-zeroes/,Easy
Arrays,Majority Element,https://leetcode.com/problems/majority-element/,Easy
Arrays,Remove Duplicates from Sorted Array,https://leetcode.com/problems/remove-duplicates-from-sorted-array/,Easy
Arrays,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Easy
Arrays,Rotate Array,https://leetcode.com/problems/rotate-array/,Medium
Arrays,Product of Array Except Self,https://leetcode.com/problems/product-of-array-except-self/,Medium
Arrays,Best Time to Buy and Sell Stock II,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/,Medium
Arrays,Number of Zero-Filled Subarrays,https://leetcode.com/problems/number-of-zero-filled-subarrays/,Medium
Arrays,Increasing Triplet Subsequence,https://leetcode.com/problems/increasing-triplet-subsequence/,Medium
Arrays,First Missing Positive,https://leetcode.com/problems/first-missing-positive/,Hard
Strings,Is Subsequence,https://leetcode.com/problems/is-subsequence/,Easy
Strings,Valid Palindrome,https://leetcode.com/problems/valid-palindrome/,Easy
Strings,Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix/,Easy
Strings,Zigzag Conversion,https://leetcode.com/problems/zigzag-conversion/,Medium
Strings,Reverse Words in a String,https://leetcode.com/problems/reverse-words-in-a-string/,Medium
Strings,Guess the Word,https://leetcode.com/problems/guess-the-word/,Hard
Bit Manipulation,Single Number,https://leetcode.com/problems/single-number/,Easy
Bit Manipulation,Number of 1 Bits,https://leetcode.com/problems/number-of-1-bits/,Easy
Bit Manipulation,Counting Bits,https://leetcode.com/problems/counting-bits/,Easy
Bit Manipulation,Reverse Bits,https://leetcode.com/problems/reverse-bits/,Easy
Bit Manipulation,Bitwise AND of Numbers Range,https://leetcode.com/problems/bitwise-and-of-numbers-range/,Medium
Bit Manipulation,Single Number III,https://leetcode.com/problems/single-number-iii/,Medium
Bit Manipulation,Sum of Two Integers,https://leetcode.com/problems/sum-of-two-integers/,Medium
Hash Tables,Design HashMap,https://leetcode.com/problems/design-hashmap/,Easy
Hash Tables,Maximum Number of Balloons,https://leetcode.com/problems/maximum-number-of-balloons/,Easy
Hash Tables,Number of Good Pairs,https://leetcode.com/problems/number-of-good-pairs/,Easy
Hash Tables,Isomorphic Strings,https://leetcode.com/problems/isomorphic-strings/,Easy
Hash Tables,Ransom Note,https://leetcode.com/problems/ransom-note/,Easy
Hash Tables,Contains Duplicate II,https://leetcode.com/problems/contains-duplicate-ii/,Easy
Hash Tables,Group Anagrams,https://leetcode.com/problems/group-anagrams/,Medium
Hash Tables,Encode and Decode TinyURL,https://leetcode.com/problems/encode-and-decode-tinyurl/,Medium
Hash Tables,Reorganize String,https://leetcode.com/problems/reorganize-string/,Medium
Hash Tables,Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence/,Medium
Hash Tables,Split Array into Consecutive Subsequences,https://leetcode.com/problems/split-array-into-consecutive-subsequences/,Medium
Hash Tables,Number of Matching Subsequences,https://leetcode.com/problems/number-of-matching-subsequences/,Medium
Hash Tables,Number of Good Ways to Split a String,https://leetcode.com/problems/number-of-good-ways-to-split-a-string/,Medium
Two Pointers,Merge Sorted Array,https://leetcode.com/problems/merge-sorted-array/,Easy
Two Pointers,Two Sum II - Input Array Is Sorted,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,Medium
Two Pointers,Container With Most Water,https://leetcode.com/problems/container-with-most-water/,Medium
Two Pointers,3Sum,https://leetcode.com/problems/3sum/,Medium
Two Pointers,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,Hard
Prefix Sum,Range Sum Query - Immutable,https://leetcode.com/problems/range-sum-query-immutable/,Easy
Prefix Sum,Subarray Sum Equals K,https://leetcode.com/problems/subarray-sum-equals-k/,Medium
Prefix Sum,Subarray Sums Divisible by K,https://leetcode.com/problems/subarray-sums-divisible-by-k/,Medium
Prefix Sum,Continuous Subarray Sum,https://leetcode.com/problems/continuous-subarray-sum/,Medium
Prefix Sum,Contiguous Array,https://leetcode.com/problems/contiguous-array/,Medium
Sliding Window - Fixed Size,Maximum Average Subarray I,https://leetcode.com/problems/maximum-average-subarray-i/,Easy
Sliding Window - Fixed Size,Find All Anagrams in a String,https://leetcode.com/problems/find-all-anagrams-in-a-string/,Medium
Sliding Window - Fixed Size,Permutation in String,https://leetcode.com/problems/permutation-in-string/,Medium
Sliding Window - Fixed Size,Maximum Sum of Distinct Subarrays With Length K,https://leetcode.com/problems/maximum-sum-of-distinct-subarrays-with-length-k/,Medium
Sliding Window - Fixed Size,Substring with Concatenation of All Words,https://leetcode.com/problems/substring-with-concatenation-of-all-words/,Hard
Sliding Window - Dynamic Size,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Medium
Sliding Window - Dynamic Size,Longest Repeating Character Replacement,https://leetcode.com/problems/longest-repeating-character-replacement/,Medium
Sliding Window - Dynamic Size,Minimum Size Subarray Sum,https://leetcode.com/problems/minimum-size-subarray-sum/,Medium
Sliding Window - Dynamic Size,Max Consecutive Ones III,https://leetcode.com/problems/max-consecutive-ones-iii/,Medium
Sliding Window - Dynamic Size,Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring/,Hard
Kadane's Algorithm,Maximum Subarray,https://leetcode.com/problems/maximum-subarray/,Medium
Kadane's Algorithm,Maximum Sum Circular Subarray,https://leetcode.com/problems/maximum-sum-circular-subarray/,Medium
Kadane's Algorithm,Maximum Product Subarray,https://leetcode.com/problems/maximum-product-subarray/,Medium
Kadane's Algorithm,Best Sightseeing Pair,https://leetcode.com/problems/best-sightseeing-pair/,Medium
Matrix (2D Array),Spiral Matrix,https://leetcode.com/problems/spiral-matrix/,Medium
Matrix (2D Array),Rotate Image,https://leetcode.com/problems/rotate-image/,Medium
Matrix (2D Array),Set Matrix Zeroes,https://leetcode.com/problems/set-matrix-zeroes/,Medium
Matrix (2D Array),Valid Sudoku,https://leetcode.com/problems/valid-sudoku/,Medium
Matrix (2D Array),Game of Life,https://leetcode.com/problems/game-of-life/,Medium
Linked List,Intersection of Two Linked Lists,https://leetcode.com/problems/intersection-of-two-linked-lists/,Easy
Linked List,Design Linked List,https://leetcode.com/problems/design-linked-list/,Medium
Linked List,Remove Nth Node From End of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,Medium
Linked List,Remove Duplicates from Sorted List II,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii/,Medium
Linked List,Swap Nodes in Pairs,https://leetcode.com/problems/swap-nodes-in-pairs/,Medium
Linked List,Copy List with Random Pointer,https://leetcode.com/problems/copy-list-with-random-pointer/,Medium
